TID;OMRÅDE;INDHOLD
2025K1;Vallensbæk;184
2025K1;Allerød;264
2025K1;Egedal;450
2025K1;Fredensborg;419
2025K1;Frederikssund;569
2025K1;Furesø;459
2025K1;Gribskov;418
2025K1;Halsnæs;313
2025K1;Helsingør;1002
2025K1;Hillerød;1191
2025K1;Hørsholm;291
2025K1;Rudersdal;623
2025K1;Bornholm;342
2025K1;Christiansø;0
2025K1;Region Sjælland;12339
2025K1;Greve;655
2025K1;Køge;983
2025K1;Lejre;269
2025K1;Roskilde;1195
2025K1;Solrød;213
2025K1;Faxe;438
2025K1;Guldborgsund;830
2025K1;Holbæk;1057
2025K1;Kalundborg;577
2025K1;Lolland;739
2025K1;Næstved;2079
2025K1;Odsherred;512
2025K1;Ringsted;490
2025K1;Slagelse;1282
2025K1;Sorø;352
2025K1;Stevns;187
2025K1;Vordingborg;481
2025K1;Region Syddanmark;16772
2025K1;Assens;440
2025K1;Faaborg-Midtfyn;532
2025K1;Kerteminde;221
2025K1;Langeland;110
2025K1;Middelfart;544
2025K1;Nordfyns;309
2025K1;Nyborg;378
2025K1;Odense;3539
2025K1;Svendborg;722
2025K1;Ærø;35
2025K1;Billund;417
2025K1;Esbjerg;1836
2025K1;Fanø;23
2025K1;Fredericia;884
2025K1;Haderslev;766
2025K1;Kolding;1204
2025K1;Sønderborg;843
2025K1;Tønder;454
2025K1;Varde;531
2025K1;Vejen;482
2025K1;Vejle;1652
2025K1;Aabenraa;850
2025K1;Region Midtjylland;17883
2025K1;Favrskov;312
2025K1;Hedensted;432
2025K1;Horsens;1239
2025K1;Norddjurs;491
2025K1;Odder;171
2025K1;Randers;1423
2025K1;Samsø;31
2025K1;Silkeborg;1061
2025K1;Skanderborg;549
2025K1;Syddjurs;402
2025K1;Aarhus;7018
2025K1;Herning;1016
2025K1;Holstebro;797
2025K1;Ikast-Brande;649
2025K1;Lemvig;145
2025K1;Ringkøbing-Skjern;459
2025K1;Skive;444
2025K1;Struer;163
2025K1;Viborg;1081
2025K1;Region Nordjylland;6994
2025K1;Brønderslev;299
2025K1;Frederikshavn;756
2025K1;Hjørring;665
2025K1;Jammerbugt;362
2025K1;Læsø;17
2025K1;Mariagerfjord;437
2025K1;Morsø;182
2025K1;Rebild;265
2025K1;Thisted;388
2025K1;Vesthimmerlands;351
2025K1;Aalborg;3272
2025K1;Uoplyst kommune;9399
2025K2;Hele landet;102752
2025K2;Region Hovedstaden;40337
2025K2;København;19704
2025K2;Frederiksberg;2132
2025K2;Dragør;168
2025K2;Tårnby;1436
2025K2;Albertslund;553
2025K2;Ballerup;976
2025K2;Brøndby;767
2025K2;Gentofte;1141
2025K2;Gladsaxe;941
2025K2;Glostrup;1281
2025K2;Herlev;572
2025K2;Hvidovre;928
2025K2;Høje-Taastrup;897
2025K2;Ishøj;373
2025K2;Lyngby-Taarbæk;913
2025K2;Rødovre;823
2025K2;Vallensbæk;244
2025K2;Allerød;259
2025K2;Egedal;496
2025K2;Fredensborg;500
2025K2;Frederikssund;606
2025K2;Furesø;498
2025K2;Gribskov;478
2025K2;Halsnæs;383
2025K2;Helsingør;1017
2025K2;Hillerød;795
2025K2;Hørsholm;296
2025K2;Rudersdal;737
2025K2;Bornholm;423
2025K2;Christiansø;0
2025K2;Region Sjælland;11516
2025K2;Greve;721
2025K2;Køge;999
2025K2;Lejre;259
2025K2;Roskilde;1366
2025K2;Solrød;256
2025K2;Faxe;396
2025K2;Guldborgsund;788
2025K2;Holbæk;956
2025K2;Kalundborg;524
2025K2;Lolland;731
2025K2;Næstved;1170
2025K2;Odsherred;487
2025K2;Ringsted;496
2025K2;Slagelse;1256
2025K2;Sorø;356
2025K2;Stevns;244
2025K2;Vordingborg;511
2025K2;Region Syddanmark;17400
2025K2;Assens;481
2025K2;Faaborg-Midtfyn;593
2025K2;Kerteminde;245
2025K2;Langeland;116
2025K2;Middelfart;558
2025K2;Nordfyns;290
2025K2;Nyborg;442
2025K2;Odense;3922
2025K2;Svendborg;743
2025K2;Ærø;21
2025K2;Billund;434
2025K2;Esbjerg;1682
2025K2;Fanø;23
2025K2;Fredericia;934
2025K2;Haderslev;715
2025K2;Kolding;1383
2025K2;Sønderborg;775
2025K2;Tønder;416
2025K2;Varde;489
2025K2;Vejen;454
2025K2;Vejle;1698
